Age,Sex,Raw,brief_inhibit_t,brief_inhibit_p,brief_beh_shift_t,brief_beh_shift_p,brief_cog_shift_t,brief_cog_shift_p,brief_control_t,brief_control_p,brief_monitor_t,brief_monitor_p,brief_memory_t,brief_memory_p,brief_plan_t,brief_plan_p,brief_materials_t,brief_materials_p,brief_task_t,brief_task_p,brief_shift_t,brief_shift_p
15,F,38,95,99,,,,,,,,,,,92,99,,,,,,
15,F,39,98,99,,,,,,,,,,,94,99,,,,,,
15,M,5,,,36,8,35,6,,,37,9,,,,,,,,,,
15,M,6,,,42,24,41,22,,,42,27,,,,,,,,,,
15,M,7,,,47,41,46,40,,,47,43,,,,,36,4,,,,
15,M,8,,,52,58,52,58,,,52,58,,,,,39,14,,,,
15,M,9,,,57,74,57,75,,,56,73,,,,,42,26,,,,
15,M,10,,,62,88,63,89,38,7,61,85,,,,,46,39,37,7,34,3
15,M,11,,,67,94,69,96,41,19,66,93,,,,,49,51,40,18,37,11
15,M,12,,,72,97,74,99,43,31,70,97,36,3,,,52,63,42,26,40,20
15,M,13,36,3,77,99,80,99,46,44,75,98,38,10,34,2,55,73,45,35,43,28
15,M,14,38,11,82,99,85,99,49,56,80,99,40,18,36,7,59,81,47,45,46,37
15,M,15,40,19,87,99,91,99,51,64,84,99,42,26,38,12,62,88,50,56,49,47
15,M,16,42,27,,,,,54,69,,,45,34,40,16,65,91,52,64,52,59
15,M,17,44,35,,,,,57,75,,,47,42,42,22,68,94,55,70,55,69
15,M,18,46,42,,,,,59,80,,,49,52,44,29,72,96,58,77,58,78
15,M,19,48,49,,,,,62,85,,,52,62,46,38,75,97,60,83,61,86
15,M,20,50,54,,,,,64,89,,,54,70,48,46,78,99,63,88,64,92
15,M,21,53,62,,,,,67,93,,,56,77,50,54,81,99,65,93,67,95
15,M,22,55,72,,,,,70,95,,,59,81,52,62,,,68,95,70,98
15,M,23,57,77,,,,,72,97,,,61,85,54,70,,,70,96,73,98
15,M,24,59,82,,,,,75,98,,,63,89,56,77,,,73,97,76,99
15,M,25,61,86,,,,,77,99,,,65,91,58,82,,,75,98,79,99
15,M,26,63,88,,,,,80,99,,,68,93,60,86,,,78,98,82,99
15,M,27,65,91,,,,,83,99,,,70,95,62,88,,,81,99,85,99
15,M,28,67,93,,,,,85,99,,,72,97,64,89,,,83,99,88,99
15,M,29,69,95,,,,,88,99,,,75,98,66,91,,,86,99,91,99
15,M,30,71,97,,,,,91,99,,,77,99,68,93,,,88,99,94,99
15,M,31,73,98,,,,,,,,,79,99,70,95,,,,,,
15,M,32,75,98,,,,,,,,,82,99,72,96,,,,,,
15,M,33,77,99,,,,,,,,,84,99,74,98,,,,,,
15,M,34,79,99,,,,,,,,,86,99,76,99,,,,,,
15,M,35,81,99,,,,,,,,,88,99,78,99,,,,,,
15,M,36,83,99,,,,,,,,,91,99,80,99,,,,,,
15,M,37,85,99,,,,,,,,,,,82,99,,,,,,
15,M,38,87,99,,,,,,,,,,,84,99,,,,,,
15,M,39,89,99,,,,,,,,,,,86,99,,,,,,
