current_datasetid,prev_datasetid
3779093,51743
3779083,51744
3779072,51760
3779098,51761
3779087,51774
3779089,51851
3779096,51856
3779128,51862
3779112,51887
3779178,51891
3779231,51893
3779164,51899
3779168,51900
3779156,51910
3779214,51915
3779155,51924
3779217,51930
3779238,51932
3779249,51980
3779196,51981
3779180,51982
3779187,51984
3779185,51985
3779166,51987
3779227,51991
3779232,51994
3779190,52008
3779242,52019
3779228,52021
3779189,52030
3779233,52033
3779218,52048
3779219,52100
3779161,52106
3779259,52157
3779171,52161
3779194,52168
3779239,52170
3779256,52186
3779247,52214
3779162,52216
3779182,52219
3779158,52224
3779216,52256
3779244,52274
3779251,52276
3779198,52296
3779203,52298
3779163,52302
3779175,52309
3779179,52312
3779210,52338
3779173,52360
3779172,52378
3779240,52379
3779223,52418
3779211,52456
3779237,52457
3779181,52509
3779208,52515
3779209,52517
3779250,52528
3779243,52531
3779230,52532
3779226,52548
3779151,52550
3779193,52566
3779195,52574
3779257,52575
3779207,52581
3779235,52582
3779176,52589
3779183,52609
3779170,52635
3779157,52638
3779236,52645
3779258,52648
3779225,52652
3779167,52680
3779241,52694
3779204,52717
3779186,52726
3779197,52737
3779222,52744
3779246,52745
3779248,52770
3779152,52771
3779205,52774
3779150,52793
3779254,52814
3779165,52857
3779202,52864
3779201,52895
3779200,52912
3779253,52939
3779184,52974
3779224,52980
3779245,52981
3779213,53018
3779159,53020
3779188,53038
3779160,53062
3779252,53083
3779215,53136
3779153,53142
3779206,53143
3779234,53152
3779177,53164
3779169,53166
3779174,53167
3779212,53172
3779220,53202
3779154,53210
3779192,53229
3779229,53261
3779191,53262
3779221,53263
3779255,53264
3779199,53316
3779269,53382
3779282,53393
3779315,53396
3779325,53402
3779285,53410
3779263,53468
3779336,53488
3779339,53497
3779367,53514
3779312,53516
3779288,53528
3779332,53529
3779322,53538
3779352,53542
3779277,53543
3779289,53556
3779297,53568
3779298,53596
3779337,53598
3779305,53635
3779276,53646
3779264,53668
3779274,53669
3779330,53675
3779361,53683
3779301,53730
3779307,53734
3779341,53773
3779260,53798
3779273,53805
3779302,54033
3779265,54189
3779362,54287
3779360,54377
3779299,54517
3779346,54522
3779355,54563
3779278,54565
3779345,54599
3779295,54643
3779309,54880
3779290,54887
3779331,55127
3779327,55131
3779344,55248
3779303,55368
3779365,55388
3779369,55434
3779310,55460
3779316,55487
3779283,55506
3779284,55507
3779350,55511
3779357,55517
3779308,55594
3779326,55597
3779280,55616
3779359,55634
3779300,55663
3779281,55689
3779349,55713
3779347,55725
3779354,55728
3779304,55753
3779342,55810
3779358,55861
3779267,55870
3779313,55881
3779328,55903
3779351,55975
3779296,55992
3779363,56047
3779317,56048
3779348,56049
3779275,56080
3779366,56085
3779291,56113
3779268,56129
3779306,56217
3779338,56248
3779287,56251
3779292,56267
3779286,56335
3779356,56337
3779262,56343
3779333,56375
3779294,56392
3779324,56460
3779311,56467
3779329,56468
3779319,56497
3779293,56525
3779266,56538
3779271,56565
3779320,56575
3779323,56607
3779272,56610
3779314,56642
3779279,56644
3779334,56669
3779321,56670
3779364,56694
3779318,56711
3779340,56725
3779261,56739
3779343,56742
3779335,56746
3779353,56762
3779368,56785
3779270,56825
3779386,56830
3779405,56851
3779396,56856
3779394,56859
3779433,56875
3779439,56885
3779378,56899
3779398,56904
3779441,56908
3779451,56913
3779420,56925
3779397,56948
3779423,56990
3778302,57035
3786819,57061
3786824,57069
3786825,57070
3786832,57083
3786833,57084
3786839,57095
3786840,57096
3786850,57110
3786855,57116
3786865,57131
3786894,57179
3786900,57189
